Product_Name,Price,Discount,Rating,Reviews,Brand,Capacity,Material,Product_URL
"VR Pack of 6 Plastic Fridge Container - 1200 ml Grey, Clear",273,72,4.2,3,VR,1200 ml,Plastic,https://www.shopsy.in/vr-pack-6-plastic-fridge-container-1200-ml-grey-clear/p/itm5c3306e34f18a?pid=XCCHHSE3RYATU78Q&lid=LSTXCCHHSE3RYATU78QXGKZ1O&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Flatkitch Pack of 6 Plastic Grocery Container - 1100 ml Black,241,65,4.4,1,Flatkitch,"1100 ml, 1100ML",Plastic,https://www.shopsy.in/flatkitch-pack-6-plastic-grocery-container-1100-ml-black/p/itm6195d5dad9649?pid=XCCHNDSYK6EX33BH&lid=LSTXCCHNDSYK6EX33BHJMEXD3&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"gptrade Pack of 3 Steel Tea Coffee & Sugar Container - 500 ml, 300 ml, 200 ml Silver",267,66,4.0,9,gptrade,"500 ml, 300 ml, 200 ml","Stainless Steel, Steel",https://www.shopsy.in/gptrade-pack-3-steel-tea-coffee-sugar-container-500-ml-300-200-ml-silver/p/itme7a1f5dfa1414?pid=XCCHFZJTGCPHDJUH&lid=LSTXCCHFZJTGCPHDJUH1QVLK1&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Kokkitcchan Pack of 6 Plastic Grocery Container - 1200 ml Black,289,80,3.5,0,Kokkitcchan,1200 ml,Plastic,https://www.shopsy.in/kokkitcchan-pack-6-plastic-grocery-container-1200-ml-black/p/itm1a6e5648e587c?pid=XCCHKKRYJZEZX8EB&lid=LSTXCCHKKRYJZEZX8EBDN8IFX&marketplace=FLIPKART&store=upp%2F5ix%2F01e
SKYHEART Pack of 8 Plastic Grocery Container - 1500 ml Blue,486,61,4.4,61,SKYHEART,"1500 ml, 500 ml, 1100 ml, 1200 ml, 550 ml, 1500ml",Plastic,https://www.shopsy.in/skyheart-pack-8-plastic-grocery-container-1500-ml-blue/p/itmb08ffcbae4326?pid=XCCGP23X7VJ5VZGW&lid=LSTXCCGP23X7VJ5VZGWT8WOYY&marketplace=FLIPKART&store=upp%2F5ix%2F01e
VAD Pack of 2 Glass Grocery Container - 1000 ml Clear,169,15,4.3,43,VAD,1000 ml,Glass,https://www.shopsy.in/vad-pack-2-glass-grocery-container-1000-ml-clear/p/itm964b58d308ae1?pid=XCCGFGGJHHXW4QVC&lid=LSTXCCGFGGJHHXW4QVCHOL1TU&marketplace=FLIPKART&store=upp%2F5ix%2F01e
VASOYA Pack of 1 Plastic Fridge Container - 2700 ml White,155,86,4.0,25,VASOYA,"2700 ml, 1500 ml, 500 ml",Plastic,https://www.shopsy.in/vasoya-pack-1-plastic-fridge-container-2700-ml-white/p/itm48a3015a8ca45?pid=XCCGYFPAR6YJYT5A&lid=LSTXCCGYFPAR6YJYT5ACRLUWR&marketplace=FLIPKART&store=upp%2F5ix%2F01e
COSY HOME MAKE IT EASY Pack of 1 Plastic Egg Container - 2 dozen White,158,80,3.8,12,COSY HOME MAKE IT EASY,,Plastic,https://www.shopsy.in/cosy-home-make-easy-pack-1-plastic-egg-container-2-dozen-white/p/itm80fb03dbff822?pid=XCCH7BUWSGMYZSPG&lid=LSTXCCH7BUWSGMYZSPGW1USMT&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Kitcorner Pack of 8 Steel Utility Container - 350 ml Red,751,31,3.8,,Kitcorner,350 ml,Steel,https://www.shopsy.in/kitcorner-pack-8-steel-utility-container-350-ml-red/p/itm7f9229b395c4b?pid=XCCHGZ8HHXXRYPD2&lid=LSTXCCHGZ8HHXXRYPD2H0GBTW&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"RK Pack of 5 Steel Utility Container - 200 ml, 350 ml, 600 ml, 850 ml, 1150 ml Silver",333,62,4.1,3,RK,"200 ml, 350 ml, 600 ml, 850 ml, 1150 ml, 160 ml, 300 ml, 500 ml, 1000 ml",Steel,https://www.shopsy.in/rk-pack-5-steel-utility-container-200-ml-350-600-850-1150-ml-silver/p/itmfcbb9c21cf721?pid=XCCHGS78PC5PMQRU&lid=LSTXCCHGS78PC5PMQRUXKQEDB&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"Q7 BRAND Pack of 3 Plastic Grocery Container - 5 L, 7.5 L, 10 L Brown",363,54,4.2,4,Q7 BRAND,"5 L, 7.5 L, 10 L",Plastic,https://www.shopsy.in/q7-brand-pack-3-plastic-grocery-container-5-l-7-5-10-l-brown/p/itm857419be94970?pid=XCCHG7YUJUJZYA3X&lid=LSTXCCHG7YUJUJZYA3XDZI04V&marketplace=FLIPKART&store=upp%2F5ix%2F01e
PMO Pack of 2 Steel Tea Coffee & Sugar Container - 200 ml Silver,188,81,3.6,13,PMO,200 ml,"Stainless Steel, Steel",https://www.shopsy.in/pmo-pack-2-steel-tea-coffee-sugar-container-200-ml-silver/p/itm7517309bd18da?pid=XCCGZHAGX8F6KKNW&lid=LSTXCCGZHAGX8F6KKNWNBHMBH&marketplace=FLIPKART&store=upp%2F5ix%2F01e
INNOVIX Pack of 2 Plastic Cereal Dispenser - 2500 ml Green,283,71,4.2,4,INNOVIX,2500 ml,Plastic,https://www.shopsy.in/innovix-pack-2-plastic-cereal-dispenser-2500-ml-green/p/itm83e0431249cd6?pid=XCCGQAZ5W67MRU6B&lid=LSTXCCGQAZ5W67MRU6BEJ3EP3&marketplace=FLIPKART&store=upp%2F5ix%2F01e
MegaValue Pack of 6 Plastic Grocery Container - 1100 ml Black,242,51,4.3,11,MegaValue,"1100 ml, 1000 ml",Plastic,https://www.shopsy.in/megavalue-pack-6-plastic-grocery-container-1100-ml-black/p/itm252201ff63eeb?pid=XCCGWWUHTAS78ZEU&lid=LSTXCCGWWUHTAS78ZEUCBCM3I&marketplace=FLIPKART&store=upp%2F5ix%2F01e
koktailkitchan Pack of 12 Plastic Grocery Container - 500 ml Black,322,50,4.1,314,koktailkitchan,"500 ml, 1100 ml, 1000 ml",Plastic,https://www.shopsy.in/koktailkitchan-pack-12-plastic-grocery-container-500-ml-black/p/itm1c9f68a904566?pid=XCCH9Y4QNAP4Q8M2&lid=LSTXCCH9Y4QNAP4Q8M20KZ2M6&marketplace=FLIPKART&store=upp%2F5ix%2F01e
VR Pack of 4 Plastic Fridge Container - 2500 ml Clear,292,70,4.1,70,VR,2500 ml,"Stainless Steel, Plastic, Steel",https://www.shopsy.in/vr-pack-4-plastic-fridge-container-2500-ml-clear/p/itmd4029592b80e2?pid=XCCGV3TNYUWZXKCV&lid=LSTXCCGV3TNYUWZXKCVECR6GD&marketplace=FLIPKART&store=upp%2F5ix%2F01e
GRCOXZ Pack of 12 Plastic Grocery Container - 700 ml Black,560,6,4.1,94,GRCOXZ,"700 ml, 1100 ml, 1400 ml",Plastic,https://www.shopsy.in/grcoxz-pack-12-plastic-grocery-container-700-ml-black/p/itm31bb2dbd7c6e0?pid=XCCH6XSFQUY3YW34&lid=LSTXCCH6XSFQUY3YW341CALG6&marketplace=FLIPKART&store=upp%2F5ix%2F01e
INNOVIX Pack of 1 Plastic Cereal Dispenser - 2500 ml Green,175,82,4.3,8,INNOVIX,2500 ml,Plastic,https://www.shopsy.in/innovix-pack-1-plastic-cereal-dispenser-2500-ml-green/p/itma5cf6c26396c8?pid=XCCGQ9NCKBPEHAZX&lid=LSTXCCGQ9NCKBPEHAZXYMCTBR&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Sequence Products Pack of 12 Plastic Grocery Container - 1200 ml White,489,51,4.1,,Sequence Products,1200 ml,Plastic,https://www.shopsy.in/sequence-products-pack-12-plastic-grocery-container-1200-ml-white/p/itm18081665d2849?pid=XCCHGHYZWJZVTRZ2&lid=LSTXCCHGHYZWJZVTRZ224AJ9Z&marketplace=FLIPKART&store=upp%2F5ix%2F01e
